Random
K,ARI,MSE,MAE,Purity,WTime,CTime,GMode,LMode,Seeding
250,0.068186,0.55754,0.731606,0.742397,21.71,21.63,0.2,0.2,3
250,0.064775,0.555872,0.728453,0.738729,21.26,21.19,0.2,0.2,3
250,0.067255,0.558032,0.730968,0.735691,21.8,21.72,0.2,0.2,3
250,0.06393,0.557549,0.730198,0.736076,21.78,21.71,0.2,0.2,3
250,0.064238,0.556825,0.729444,0.729791,21.46,21.38,0.2,0.2,3
250,0.063991,0.556551,0.729348,0.73743,22.32,22.25,0.2,0.2,3
250,0.061602,0.55584,0.728773,0.708839,21.43,21.34,0.2,0.2,3
250,0.062565,0.558763,0.731933,0.73128,22.62,22.56,0.2,0.2,3
250,0.064781,0.55678,0.730652,0.736089,21.92,21.83,0.2,0.2,3
250,0.068399,0.55735,0.729842,0.726169,21.8,21.72,0.2,0.2,3
250,0.067667,0.557662,0.73027,0.724017,22.3,22.23,0.2,0.2,3
250,0.063926,0.556362,0.73009,0.741075,23.21,23.15,0.2,0.2,3
250,0.066463,0.557538,0.73015,0.726418,22.63,22.56,0.2,0.2,3
250,0.065696,0.555074,0.728483,0.735666,22.77,22.69,0.2,0.2,3

300,0.0557,0.546972,0.722444,0.74024,24.67,24.58,0.2,0.2,3
300,0.059964,0.547486,0.722725,0.74548,24.72,24.64,0.2,0.2,3
300,0.059445,0.547725,0.722607,0.745387,25.13,25.05,0.2,0.2,3
300,0.057081,0.545816,0.720639,0.747868,25.59,25.5,0.2,0.2,3
300,0.057039,0.548102,0.723278,0.736565,25.79,25.71,0.2,0.2,3
300,0.057037,0.546484,0.721273,0.745578,26.69,26.61,0.2,0.2,3
300,0.063466,0.546114,0.720773,0.740815,25.67,25.59,0.2,0.2,3
300,0.062234,0.547828,0.723082,0.748236,26.34,26.26,0.2,0.2,3
300,0.065289,0.547994,0.723179,0.745548,26.6,26.5,0.2,0.2,3
300,0.058113,0.546931,0.722533,0.745733,27.82,27.74,0.2,0.2,3
300,0.062498,0.546523,0.721707,0.750579,26.73,26.64,0.2,0.2,3

350,0.060048,0.540312,0.716753,0.76193,30.39,30.29,0.2,0.2,3
350,0.060775,0.541383,0.716943,0.756,30.21,30.1,0.2,0.2,3
350,0.05954,0.54013,0.715646,0.752612,30.34,30.24,0.2,0.2,3
350,0.059919,0.540114,0.716809,0.76726,30.55,30.45,0.2,0.2,3
350,0.058922,0.540118,0.715871,0.757036,30.87,30.78,0.2,0.2,3
350,0.055456,0.539541,0.716868,0.76732,31.13,31.03,0.2,0.2,3
350,0.056238,0.538322,0.714989,0.760945,31.19,31.09,0.2,0.2,3

400,0.047245,0.53154,0.710139,0.763104,33.53,33.43,0.2,0.2,3
400,0.052226,0.530991,0.709071,0.768357,34.76,34.65,0.2,0.2,3
400,0.054919,0.533249,0.711406,0.760585,35.02,34.91,0.2,0.2,3
400,0.052709,0.532503,0.710437,0.763124,35.88,35.76,0.2,0.2,3
400,0.05222,0.533789,0.711911,0.761669,35.51,35.4,0.2,0.2,3
400,0.051814,0.53349,0.711532,0.767058,35.58,35.46,0.2,0.2,3
400,0.04984,0.531795,0.710429,0.771225,36.14,36.03,0.2,0.2,3
400,0.052835,0.53244,0.710967,0.767874,35.74,35.63,0.2,0.2,3
400,0.052525,0.534148,0.712448,0.77128,36.08,35.97,0.2,0.2,3
400,0.053462,0.533796,0.712352,0.770211,36.2,36.08,0.2,0.2,3
400,0.051467,0.533236,0.711438,0.763647,36.34,36.22,0.2,0.2,3

450,0.044438,0.525495,0.704807,0.760357,38.69,38.56,0.2,0.2,3
450,0.044906,0.525754,0.704786,0.769261,39.17,39.06,0.2,0.2,3
450,0.044017,0.527545,0.706907,0.767415,39.45,39.33,0.2,0.2,3
450,0.047203,0.526401,0.705605,0.768726,40.18,40.05,0.2,0.2,3
450,0.045547,0.527389,0.70658,0.764343,40.97,40.84,0.2,0.2,3
450,0.046147,0.52712,0.706383,0.766395,41.56,41.43,0.2,0.2,3
450,0.047177,0.527537,0.706684,0.765464,41.8,41.68,0.2,0.2,3
450,0.04333,0.525418,0.7048,0.759108,41.24,41.12,0.2,0.2,3
450,0.046842,0.528016,0.706903,0.771525,42.67,42.54,0.2,0.2,3
450,0.047345,0.524957,0.704493,0.770081,41.48,41.35,0.2,0.2,3
450,0.045045,0.526885,0.707284,0.771046,41.01,40.88,0.2,0.2,3
450,0.048151,0.526224,0.70636,0.77789,42.72,42.58,0.2,0.2,3
450,0.044883,0.525834,0.705026,0.768713,43.25,43.13,0.2,0.2,3

500,0.039646,0.518383,0.698548,0.768166,47.11,46.95,0.2,0.2,3
500,0.040351,0.51965,0.699967,0.778999,48.61,48.47,0.2,0.2,3
500,0.039854,0.519588,0.701141,0.774367,47.44,47.3,0.2,0.2,3
500,0.04105,0.520188,0.701653,0.777902,48.32,48.18,0.2,0.2,3
500,0.038724,0.518375,0.699112,0.774908,47.64,47.51,0.2,0.2,3
500,0.039064,0.521389,0.702389,0.774335,49.33,49.18,0.2,0.2,3
500,0.039903,0.518901,0.699324,0.769647,48.28,48.12,0.2,0.2,3
500,0.038407,0.518513,0.700002,0.778012,49.89,49.73,0.2,0.2,3
500,0.043673,0.520442,0.701358,0.772238,48.78,48.62,0.2,0.2,3
500,0.0404,0.520996,0.702044,0.776054,51.9,51.73,0.2,0.2,3
500,0.04119,0.520452,0.700053,0.767133,50.17,50.03,0.2,0.2,3
